Timestamp,Participant ID,"Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [The quality of the output I get from the system is high.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Assuming I have access to the system, I intend to use it.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [In my job, usage of the system is important.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [My interaction with the system is clear and understandable.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I find the system to be easy to use.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Using the system improves my performance in my job.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Using the system enhances my effectiveness in my job.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""4 (somewhat agree)"" for this question.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I have no problem with the quality of the system’s output.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Please check ""1 (strongly disagree)"" for this question.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Interacting with the system does not require a lot of my mental effort.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I find it easy to get the system to do what I want it to do.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [In my job, usage of the system is relevant.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Using the system in my job increases my productivity.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [I find the system to be useful in my job.]","Please answer the questions below using the scale from 1 to 5 where 1 equals ""stronlgy disagree"" and 5 equals ""strongly agree"". [Given that I have access to the system, I predict that I would use it.]",What subject have you prepared with the tool?,When do you expect to teach the lesson?
2025/03/06 11:59:37 AM GMT+3,06-5917,5,5,4,5,5,5,4,4,5,1,4,4,4,4,3,5,Mathematics,2025-03-11
2025/03/06 12:03:53 PM GMT+3,06-6856,5,5,5,5,5,5,5,4,4,1,4,5,5,5,5,5,History and Political Education,2025-03-12
2025/03/06 12:04:26 PM GMT+3,05-4015,5,5,5,5,5,4,5,4,5,1,4,4,5,5,5,5,English,2025-03-07
2025/03/06 12:05:41 PM GMT+3,05-7651,4,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,English,2025-03-07
2025/03/06 12:07:01 PM GMT+3,05-7820,4,4,5,4,5,5,4,4,4,5,4,4,5,5,5,4,Biology,2025-03-10
2025/03/06 12:09:04 PM GMT+3,06-8820,3,5,5,4,5,5,4,4,5,4,4,4,5,5,5,5,History and Political Education,2025-03-10
2025/03/06 12:09:37 PM GMT+3,05-6199,5,5,5,5,5,5,5,4,5,2,5,4,5,5,5,5,Information and Communication Technology,2025-03-07
2025/03/06 12:45:32 PM GMT+3,03-6169,4,5,5,4,5,5,4,4,3,1,2,5,4,5,4,5,Physics ,2025-03-06
2025/03/06 12:48:21 PM GMT+3,03-7811,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,Biology,2025-03-07
2025/03/06 12:56:49 PM GMT+3,03-7539,5,5,4,5,5,5,5,4,5,1,5,4,5,5,5,5,History and Political Education,2025-03-07
2025/03/06 3:51:41 PM GMT+3,Teacher ,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,Biology,2025-03-08
2025/03/06 4:18:38 PM GMT+3,O85827,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,English,2025-03-11
2025/03/06 4:20:29 PM GMT+3,08-7088,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,Biology,2025-03-14
2025/03/06 4:22:24 PM GMT+3,08-3894,4,5,5,5,5,5,5,4,3,5,5,5,5,4,4,3,History and Political Education,2025-03-07
2025/03/06 4:24:36 PM GMT+3,08_7009,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,History and Political Education,2025-03-10
2025/03/06 4:27:01 PM GMT+3,08-5925,4,5,5,5,5,5,5,4,5,1,5,4,5,5,5,5,Biology,2025-03-10
2025/03/06 4:29:54 PM GMT+3,088561,4,3,5,5,5,5,4,4,5,3,4,5,5,5,5,5,History and Political Education,2025-03-10
2025/03/06 4:31:27 PM GMT+3,08_5145,4,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,English,2025-03-07
2025/03/06 4:31:50 PM GMT+3,08 - 8730,4,5,5,4,5,3,5,4,3,1,4,3,5,4,4,5,GEOGRAPHY ,2025-03-10
2025/03/06 9:05:05 PM GMT+3,CM890231037RLE,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,Mathematics,2025-03-17
2025/03/11 12:21:53 PM GMT+3,15-9752,3,5,4,4,4,5,5,4,4,1,4,4,4,4,4,5,Physics ,2025-03-17
2025/03/11 12:27:24 PM GMT+3,140826,4,5,5,5,5,4,5,4,4,4,4,5,5,4,5,4,Mathematics,2025-03-12
2025/03/11 12:50:07 PM GMT+3,15-0373,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Information and Communication Technology,2025-03-27
2025/03/11 12:52:14 PM GMT+3,CM970391083J8J,4,4,4,4,4,5,4,4,4,1,2,2,3,2,2,2,Entrepreneurship education ,2025-03-13
2025/03/11 5:19:09 PM GMT+3,11-5803,1,4,4,4,4,3,3,4,2,1,5,2,4,3,3,4,English,2025-03-12
2025/03/11 5:19:17 PM GMT+3,11-0749,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,Biology,1999-02-28
2025/03/11 5:19:20 PM GMT+3,11-7836,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,NONE,2025-03-12
2025/03/11 5:19:27 PM GMT+3,11-8545,3,3,5,2,2,3,3,3,2,3,4,4,4,3,3,3,Mathematics,2025-12-03
2025/03/11 5:20:04 PM GMT+3,11-9467,4,5,4,1,4,4,5,4,4,1,4,4,4,4,4,4,Mathematics,2025-03-12
2025/03/11 5:20:04 PM GMT+3,11-6537,5,5,5,5,5,5,5,4,5,4,3,5,5,4,5,5,History and Political Education,2025-03-14
2025/03/11 5:20:53 PM GMT+3,11-9018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Chemistry ,2025-03-17
2025/03/11 5:21:16 PM GMT+3,110570,4,4,5,3,3,5,5,4,3,1,4,4,5,4,4,5,Chemistry ,2025-03-11
2025/03/11 5:21:44 PM GMT+3,11-8775,4,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,History and Political Education,2025-03-11
2025/03/11 5:23:38 PM GMT+3,11-9792,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,History and Political Education,2025-04-11
2025/03/13 8:49:11 AM GMT+3,14-8742,4,5,5,5,5,5,5,2,4,2,5,5,5,5,5,5,History and Political Education,2025-03-17
2025/03/13 10:36:24 AM GMT+3,148644,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,Chemistry ,2025-03-14
2025/03/17 10:42:02 AM GMT+3,02-228L,4,4,5,4,4,5,5,4,5,4,5,4,5,5,5,5,English,2025-03-06
2025/03/17 10:45:04 AM GMT+3,02-6280,4,5,5,4,4,5,5,4,5,1,4,5,5,5,5,5,Biology,2025-03-06
2025/03/17 10:57:54 AM GMT+3,03-3609,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,History and Political Education,2025-03-10
2025/03/17 10:59:31 AM GMT+3,03-4226,4,5,5,5,5,5,5,4,5,1,5,5,5,4,4,5,History and Political Education,2025-03-11
2025/03/17 11:04:55 AM GMT+3,04-6874,4,5,5,5,5,5,5,4,4,1,5,4,5,5,5,5,English,2025-03-11
2025/03/21 9:25:02 PM GMT+3,03-4908,4,2,5,3,4,5,3,2,4,3,4,4,5,4,3,4,Physics ,2025-03-10
2025/04/09 12:58:11 PM GMT+3,12-9691,1,4,4,4,4,4,1,4,1,1,1,1,1,1,1,1,History and Political Education,2025-04-14
2025/04/09 1:02:26 PM GMT+3,12-7833,4,4,5,4,4,5,5,3,3,4,3,4,4,4,3,4,Geography ,2025-04-09
2025/04/09 1:02:29 PM GMT+3,12-9691,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,History and Political Education,2025-04-14
2025/04/09 1:04:29 PM GMT+3,12-7735,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,English,2025-04-14
2025/04/09 1:06:13 PM GMT+3,12_8454,5,5,5,4,4,5,5,4,4,1,5,4,4,5,4,5,Entrepreneurship education ,2025-04-09
2025/04/09 1:06:14 PM GMT+3,12-9996,5,5,5,5,5,5,5,4,4,1,5,5,5,5,5,5,Information and Communication Technology,2025-04-09
2025/04/09 1:11:14 PM GMT+3,12-9917,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,KISWAHILI ,2025-04-09
2025/04/09 3:45:40 PM GMT+3,godiquinox02@gmail.com,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Physics ,2025-04-14
2025/04/09 5:15:09 PM GMT+3,Phillip,3,3,1,5,5,4,5,5,5,5,5,4,5,4,5,3,Physics,2025-03-10
2025/04/09 5:23:12 PM GMT+3,09-8739,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,Information and Communication Technology,2025-04-10
2025/04/09 5:25:46 PM GMT+3,09-6545,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,History and Political Education,1996-12-13
2025/04/09 5:26:56 PM GMT+3,Kiyimba ,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,Biology,2024-04-09
2025/04/09 5:27:26 PM GMT+3,09-5924,4,5,5,5,5,5,5,4,3,5,5,5,1,5,5,2,English,2025-04-09
2025/04/09 5:28:36 PM GMT+3,09-7782,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,History and Political Education,2025-04-14
2025/04/09 5:29:24 PM GMT+3,09-8560,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Entrepreneurship ,2025-04-10
2025/04/09 5:32:13 PM GMT+3,09-3893,4,4,4,2,1,4,5,4,5,5,5,5,5,2,4,3,Mathematics,2025-03-20
2025/04/10 5:53:25 PM GMT+3,10-8782,5,5,5,5,5,5,5,4,5,1,4,5,5,5,4,5,Information and Communication Technology,2025-05-18
2025/04/10 5:54:25 PM GMT+3,10-6924,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,History and Political Education,2025-11-04
2025/04/10 6:01:37 PM GMT+3,10-6826,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,Information and Communication Technology,2025-04-15
2025/08/08 2:03:52 PM GMT+3,harrybrizzyemma333@gmail.com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Information and Communication Technology,2025-08-11
2025/08/11 2:05:27 PM GMT+3,8,4,5,5,5,5,5,4,4,5,1,5,5,5,5,5,5,Mathematics,2025-08-11
2025/08/11 2:15:11 PM GMT+3,005,5,5,5,5,4,5,5,4,5,4,4,5,5,5,4,5,Physics,2026-04-16
2025/08/11 2:25:28 PM GMT+3,1234,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,English,2025-08-13
2025/08/11 2:25:50 PM GMT+3,3030,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,English,2025-09-25
2025/08/11 2:29:36 PM GMT+3,002,4,3,4,5,4,5,4,2,4,2,5,3,5,4,4,4,Entrepreneurship ,2025-08-13
2025/11/25 1:55:00 PM GMT+3,02 - 6964,4,5,4,5,5,4,4,4,5,5,5,4,5,5,4,5,CHEMISTRY,2025-06-03
2025/11/25 2:00:43 PM GMT+3,02 - 228L,4,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,English,2025-06-03
2025/11/25 2:04:22 PM GMT+3,03 - 3609,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,History and Political Education,2025-03-10
2025/11/25 2:09:35 PM GMT+3,02 - 6280,4,5,5,4,4,5,5,1,5,3,4,5,5,5,5,5,Biology,2025-03-06
2025/11/29 7:17:34 PM GMT+3,03-7642,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,English,2025-03-13
2025/11/29 7:19:51 PM GMT+3,15-1285,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,physics,2025-03-14
2025/11/29 7:26:54 PM GMT+3,15-0125,5,5,5,4,5,5,5,4,2,1,4,2,5,5,5,5,Biology,2025-03-06
2025/11/29 7:29:27 PM GMT+3,15-2567,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,History and Political Education,2025-03-06
2025/11/29 7:36:52 PM GMT+3,03-4226,4,5,5,5,5,5,5,4,5,1,5,5,5,4,4,5,History and Political Education,2025-03-10
2025/11/29 7:38:26 PM GMT+3,10-4893,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,History and Political Education,2025-04-14
2025/11/29 7:49:40 PM GMT+3,10-7545,5,5,5,3,5,5,5,3,5,3,5,4,5,5,4,5,English,2025-04-10
2025/11/29 7:53:24 PM GMT+3,10-9560,4,5,5,5,4,5,5,4,5,1,4,5,5,5,5,5,Biology,2025-04-11
2025/11/29 7:56:32 PM GMT+3,10-9739,3,5,4,3,5,4,4,4,4,3,5,4,4,5,5,4,Biology,2025-03-06
2025/11/29 8:12:46 PM GMT+3,15-9972,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,History and Political Education,2025-03-06
